sentence,label
repair cost ekdam ok cha,neutral
yo mechanic bad thiyo tara asal bhayo,positive
delivery time ekdam rude cha,negative
engine condition ko quality normal cha,neutral
yo garage ma expensive experience bhayo,negative
yo servicing center ma on time,positive
bike servicing dherai frustrated lagyo,negative
worker haru smooth cha,positive
yo mechanic dai nice cha tara bekar cha,negative
yo servicing center ko quality sahayogi cha,positive
malai staff haru samanya lagyo,neutral
malai yo garage great lagyo,positive
"phone response bhorosa pani cha, overpriced pani cha",neutral
billing system lastai thik cha,neutral
engine repair normal cha,neutral
bill amount ekdam thik cha,neutral
yo garage ko quality mitho chha,positive
yo mechanic shop helpful thiyo tara awful bhayo,negative
MA YO SERVICING CENTER BATA HIDDEN CHARGE,negative
ma delivery time bata problem solve bhayo,positive
mero bike condition ekdam thikai cha,neutral
battery service jabardast thiyo tara dhila bhayo,negative
malai yo servicing poor lagena,positive
yo price satisfied cha,positive
malai yo servicing center pathetic lagena,positive
yo thau unprofessional thiena,positive
ma yo place bata ramro bhayo,positive
service cost ekdam okay cha,neutral
MERO EXPERIENCE BHOROSA THIYO TARA PATHETIC BHAYO,negative
yo thau dherai raamro lagyo,positive
"yo mechanic dai sahyog pani cha, frustrated pani cha",neutral
"repair time friendly pani cha, dhila pani chha",neutral
delivery time ma mahengo experience bhayo,negative
battery service thikkai cha,neutral
yo mechanic dai expensive chaina,positive
ma repair cost bata thik bhayo,positive
customer service expensive bhaena,positive
yo repair service rude cha tara good cha,positive
service cost dherai thik lagyo,neutral
vehicle performance ko barema fake parts,negative
battery service ko quality average cha,neutral
support team dherai samanya lagyo,neutral
MA YO SERVICING CENTER BATA TOP QUALITY,positive
yo technician dherai average lagyo,neutral
engine condition ko barema service bhayo,neutral
yo garage ekdam thik cha,neutral
support team pura sasto chaina,negative
repair cost thikkai cha,neutral
yo servicing thik jasto,neutral
mero bike condition ko barema engine check,neutral
ma yo servicing bata thikai cha,neutral
engine kaam phutyo cha,negative
yo repair service lastai thikai cha,neutral
"yo servicing center ma chitto cha, angry pani cha",neutral
payment system ma hidden charge,negative
"service cost dami pani cha, careless pani cha",neutral
ma tyre condition bata original parts,positive
yo garage ma ok experience bhayo,neutral
REPAIR TIME LUTEKO CHA,negative
malai maintenance service thikai lagyo,neutral
customer service use garda thikkai feel bhayo,neutral
"yo price sasto pani cha, dukha pani cha",neutral
phone response pura disappointed chaina,positive
yo workshop ali thik,neutral
brake condition bhorosilo cha tara hawa cha,negative
yo bill ko quality samanya cha,neutral
malai parts quality bhalo lagyo,positive
malai yo bill raamro lagyo,positive
yo technician dherai santusta lagyo,positive
COMPLAINT HANDLING KHUSI THIYO TARA POOR BHAYO,negative
ma yo servicing bata purano parts,negative
"Staff haru ma excellent cha, khera pani cha",neutral
yo repair service ma ali thik,neutral
bike servicing ko quality angry cha,negative
malai yo auto workshop sasto lagena,negative
parts replacement genuine chha tara unprofessional cha,negative
yo technician ma original parts,positive
malai yo mechanic normal lagyo,neutral
malai brake condition asal lagena,negative
delivery time sahi cha,positive
replacement parts dherai dami lagyo,positive
replacement parts ekdam helpful cha,positive
payment system mitho bhaena,negative
repair time gajjab thiena,negative
Yo servicing dherai average lagyo,neutral
yo mechanic dai asal cha,positive
replacement parts lastai santusta cha,positive
yo servicing center ma sipalu experience bhayo,positive
WAITING TIME EKDAM THIKAI CHA,neutral
yo price delay bhaena,positive
yo thau ko barema just okay,neutral
ma yo mechanic dai bata thikai cha,neutral
malai bill amount ramaro lagyo,positive
Yo price ma kaam bhayo,neutral
replacement parts naramro cha,negative
yo price ma quick experience bhayo,positive
yo garage unprofessional thiyo tara majja bhayo,positive
replacement parts terrible cha tara honest cha,positive
yo mechanic dai waste bhaena,positive
REPAIR TIME DHERAI NARAMO LAGYO,negative
BIKE SERVICING NARAMO CHA TARA RAMARO CHA,positive
malai brake system bhalo lagyo,positive
car servicing average cha,neutral
repair time ko barema used parts,negative
ma parts replacement bata thik garena,negative
maintenance service use garda thik feel bhayo,neutral
overall experience just okay,neutral
overall experience ma ramro lagena,negative
yo spare parts helpful thiena,negative
"waiting time ma quick cha, chor pani cha",neutral
tyre condition worst thiena,positive
bike servicing ko quality bhalo cha,positive
yo mechanic shop use garda perfect feel bhayo,positive
ma parts quality bata feri aauchu,positive
yo price dami thiyo tara fohor bhayo,negative
yo technician duplicate bhaena,positive
yo place use garda jabardast feel bhayo,positive
engine kaam ekdam samasya cha,negative
brake condition ekdam naramo cha,negative
yo mechanic shop sipalu cha tara fohor cha,negative
malai yo technician samanya lagyo,neutral
mero experience ma thikai experience bhayo,neutral
"yo charge happy pani cha, angry pani cha",neutral
staff haru gajjab chha tara ruksha cha,negative
service cost lastai ghatiya cha,negative
billing system ko quality imandar cha,positive
mero experience use garda lajawab feel bhayo,positive
vehicle performance ko barema kaam adhuro,negative
yo workshop ma used parts,negative
brake system ekdam samanya cha,neutral
ma staff haru bata damage bhayo,negative
yo mechanic ali thik,neutral
yo mechanic dai quality chaina,negative
MA DELIVERY TIME BATA RECOMMEND GARDINA,negative
"support team bhorosilo pani cha, late pani cha",neutral
customer service jhutho cha tara lajawab cha,positive
ma brake condition bata hidden charge,negative
payment system ma kaam sakiyo,neutral
yo servicing use nagarnu,negative
car servicing ma service bhayo,neutral
bill amount pura khusi chaina,negative
parts replacement okay cha,neutral
overall experience lastai samanya cha,neutral
"overall experience ma quick cha, bad pani cha",neutral
yo bill jabardast thiyo tara disappointed bhayo,negative
customer service worsened thiyo tara quality bhayo,positive
malai yo charge affordable lagena,negative
WAITING TIME KO BAREMA TOP QUALITY,positive
mero car condition dherai bad lagyo,negative
worker haru waste of money,negative
maintenance service ma thikkai experience bhayo,neutral
bike servicing lastai careless cha,negative
ma yo servicing bata oil change,neutral
brake system oil change,neutral
customer service lastai smooth cha,positive
service cost ko barema oil change,neutral
yo servicing center dherai average lagyo,neutral
malai yo price ramro lagyo,positive
customer service kaam bhayo,neutral
vehicle performance late chaina,positive
yo auto workshop ma paisa khera,negative
ma bike servicing bata purano parts,negative
mero bike condition damage cha,negative
payment system okay cha,neutral
"waiting time ma asal cha, dhokha pani cha",neutral
yo garage khera thiyo tara asal bhayo,positive
"bill amount recommend pani cha, slow pani cha",neutral
"brake condition ma fast cha, risaune pani cha",neutral
yo thau use garda babbal feel bhayo,positive
yo auto workshop use nagarnu,negative
engine condition lastai majja cha,positive
ENGINE CONDITION USE GARDA DURABLE FEEL BHAYO,positive
REPAIR TIME USE GARDA OK FEEL BHAYO,neutral
payment system use garda average feel bhayo,neutral
customer service late cha,negative
"yo technician great pani cha, kharab pani cha",neutral
bill amount rubbish cha tara smooth cha,positive
REPAIR COST BEST CHA TARA NARAMO CHA,negative
malai support team thikai lagyo,neutral
complaint handling fake chaina,positive
"payment system ma majja cha, dhilo pani cha",neutral
worker haru professional cha,positive
repair cost pura mahango chaina,positive
service time ko quality thikkai cha,neutral
"Yo servicing center dami pani cha, terrible pani cha",neutral
bill amount ko barema engine check,neutral
parts quality problem chaina,positive
phone response ghatiya chaina,positive
yo technician ma worth it,positive
repair cost ko barema paisa khera,negative
overall experience ekdam perfect cha,positive
yo servicing center ma thik jasto,neutral
engine kaam delay cha tara bhorosa cha,positive
parts replacement sasto chaina,negative
MALAI PAYMENT SYSTEM THIKKAI LAGYO,neutral
repair cost ko quality average cha,neutral
Yo mechanic dherai okay lagyo,neutral
service time bhorosa thiyo tara ruksha bhayo,negative
complaint handling gajjab thiena,negative
"CAR SERVICING SUNDAR PANI CHA, PROBLEM PANI CHA",neutral
mero car condition ko barema extra charge,negative
brake system dherai risaune lagyo,negative
bike servicing dukha thiyo tara gajjab bhayo,positive
mero car condition ko quality babbal cha,positive
ma yo repair service bata ali thik,neutral
payment system ma sahi experience bhayo,positive
bike servicing dherai average lagyo,neutral
vehicle performance mast cha,positive
worker haru pura dami chaina,negative
support team poor thiyo tara quality bhayo,positive
tyre condition dherai terrible lagyo,negative
ma engine repair bata thik bhayo,positive
"yo thau reliable pani cha, annoyed pani cha",neutral
mero car condition pura bad chaina,positive
yo thau ma awful experience bhayo,negative
yo garage ko barema duplicate parts,negative
complaint handling fast thiena,negative
delivery time bhorosa thiyo tara worst bhayo,negative
engine repair ramro lagena,negative
ma repair time bata kaam bhayo,neutral
yo technician bad thiyo tara professional bhayo,positive
yo mechanic ma smooth cha,positive
repair cost lastai professional cha,positive
yo servicing center raamro thiena,negative
Repair cost use garda asal feel bhayo,positive
yo garage ma duplicate parts,negative
MERO BIKE CONDITION DHERAI THIK LAGYO,neutral
yo auto workshop disappointed chaina,positive
malai billing system bakwas lagyo,negative
bill amount sasto thiyo tara jhur bhayo,negative
parts quality ma khusi experience bhayo,positive
ENGINE KAAM KHERA CHAINA,positive
yo mechanic dai bakbas thiyo tara friendly bhayo,positive
Ma yo price bata damage bhayo,negative
YO PRICE DHERAI SLOW LAGYO,negative
Yo mechanic shop adhuro thiyo tara happy bhayo,positive
mero car condition khera chaina,positive
yo mechanic shop awful chaina,positive
MA BATTERY SERVICE BATA SO SO,neutral
tyre condition sundar cha tara terrible chha,negative
yo price santusta cha tara slow cha,negative
malai customer service dhilo lagyo,negative
replacement parts samasya thiyo tara babbal bhayo,positive
YO MECHANIC DHANYABAD THIYO TARA WASTE BHAYO,negative
mero experience ko quality excellent cha,positive
repair time ko barema smooth cha,positive
Parts quality ko barema service bhayo,neutral
complaint handling lastai sahi cha,positive
bill amount ramro bhayo,positive
"bike servicing ma badhiya cha, expensive pani cha",neutral
engine condition lastai thikkai cha,neutral
ma yo workshop bata oil change,neutral
worker haru ma thikai experience bhayo,neutral
yo bill ma nice experience bhayo,positive
vehicle performance lajawab thiyo tara scam bhayo,negative
billing system ma ok experience bhayo,neutral
Yo price delay cha,negative
repair cost ma thagi experience bhayo,negative
malai parts quality sipalu lagyo,positive
MALAI SUPPORT TEAM BIGREKO LAGYO,negative
phone response ko barema thikai cha,neutral
yo bill so so,neutral
mero experience use garda happy feel bhayo,positive
Yo bill ko barema paisa khera,negative
parts quality ma normal experience bhayo,neutral
OVERALL EXPERIENCE EKDAM THAGI CHA,negative
support team just okay,neutral
yo charge fohor thiena,positive
parts quality angry cha,negative
yo mechanic shop service bhayo,neutral
payment system ko quality genuine cha,positive
delivery time majja thiyo tara adhuro bhayo,negative
payment system dherai dhokha lagyo,negative
malai yo mechanic ignored lagena,positive
"support team ma majja cha, dukha pani cha",neutral
Maintenance service thag cha tara bharpardo cha,positive
brake condition lastai thik cha,neutral
Malai yo thau samanya lagyo,neutral
yo spare parts cheat thiyo tara jabardast bhayo,positive
yo mechanic dai ma ok experience bhayo,neutral
engine repair hawa thiyo tara best bhayo,positive
yo thau ko barema ramro bhayo,positive
battery service ko barema engine check,neutral
brake system use garda thikkai feel bhayo,neutral
service cost lastai dhanyabad cha,positive
mero bike condition ko quality ok cha,neutral
malai mero bike condition naramo lagena,positive
brake condition bhalo chaina,negative
Yo bill ko quality okay cha,neutral
ma yo bill bata so so,neutral
Ma yo servicing center bata engine check,neutral
"yo repair service imandar pani cha, adhuro pani cha",neutral
bill amount dhanyabad chaina,negative
tyre condition dherai normal lagyo,neutral
yo workshop ma ramro bhayo,positive
"bill amount ma smooth cha, khera pani cha",neutral
overall experience safa cha,positive
engine repair use garda average feel bhayo,neutral
malai support team thagi lagyo,negative
yo servicing center ma excellent experience bhayo,positive
phone response dherai jabardast lagyo,positive
"REPLACEMENT PARTS HAPPY PANI CHA, SAMASYA PANI CHA",neutral
"YO CHARGE JABARDAST PANI CHA, FOHOR PANI CHA",neutral
ma brake condition bata same issue,negative
parts replacement ekdam average cha,neutral
waiting time ma chitta bujhyo,positive
engine repair ko barema thikai cha,neutral
payment system lastai raamro chha,positive
"Service time chitto pani cha, fraud pani cha",neutral
yo mechanic ma normal experience bhayo,neutral
ma yo price bata duplicate parts,negative
car servicing ma waste experience bhayo,negative
vehicle performance use garda samanya feel bhayo,neutral
yo bill ekdam jhur cha,negative
yo spare parts fake cha tara dhanyabad cha,positive
yo auto workshop okay cha,neutral
yo bill lastai raamro cha,positive
"billing system ma smooth cha, galti pani chha",neutral
"tyre condition ma badhiya cha, terrible pani chha",neutral
yo repair service ekdam dami cha,positive
yo workshop bad bhaena,positive
payment system late thiena,positive
yo mechanic ma never again,negative
"COMPLAINT HANDLING MA DHANYABAD CHA, RISAUNE PANI CHA",neutral
billing system ko quality thik cha,neutral
maintenance service ekdam babbal cha,positive
service time lastai normal chha,neutral
malai replacement parts excellent lagyo,positive
staff haru ekdam sahi cha,positive
Delivery time ma samanya experience bhayo,neutral
MA YO TECHNICIAN BATA ENGINE CHECK,neutral
customer service thikkai cha,neutral
bike servicing ekdam bakwas cha,negative
overall experience damage cha tara mast cha,positive
yo technician ma smooth experience bhayo,positive
malai yo charge affordable lagyo,positive
bike servicing oil change,neutral
yo technician use garda helpful feel bhayo,positive
mero bike condition pura babbal chaina,negative
malai repair cost thikkai lagyo,neutral
yo mechanic ekdam thik cha,neutral
repair time quality bhaena,negative
yo repair service ko quality okay cha,neutral
delivery time slow thiyo tara mitho bhayo,positive
worker haru raamro cha tara rude cha,negative
worker haru lajawab chaina,negative
yo mechanic dhilo thiena,positive
mero car condition worst thiyo tara awesome bhayo,positive
COMPLAINT HANDLING MA ASAL EXPERIENCE BHAYO,positive
"worker haru sasto pani cha, expensive pani chha",neutral
yo spare parts bhorosilo bhaena,negative
yo repair service ekdam rubbish cha,negative
maintenance service ekdam rude cha,negative
brake condition sahyog cha tara cheat cha,negative
malai mero experience khera lagena,positive
ma parts quality bata ramro bhayo,positive
delivery time ok cha,neutral
malai billing system fast lagyo,positive
yo garage santusta thiena,negative
BATTERY SERVICE MA SO SO,neutral
bill amount ekdam sasto cha,positive
ma yo garage bata purano parts,negative
ma support team bata service bhayo,neutral
yo charge purano parts,negative
TYRE CONDITION EXCELLENT CHA TARA PROBLEM CHA,negative
mero car condition ko barema original parts,positive
"brake condition ma sasto cha, thag pani cha",neutral
YO MECHANIC SHOP RUDE CHAINA,positive
"Service time ma reliable cha, naraamro pani cha",neutral
ma yo servicing center bata never again,negative
overall experience ekdam late cha,negative
"car servicing ma jabardast cha, jhutho pani cha",neutral
mero car condition chitto thiena,negative
billing system dhokha thiyo tara affordable bhayo,positive
parts quality ko barema no response,negative
malai maintenance service average lagyo,neutral
parts replacement dherai careless lagyo,negative
maintenance service ramro bhayo,positive
yo charge use garda chor feel bhayo,negative
yo auto workshop ko quality okay cha,neutral
yo servicing ruksha cha tara jabardast cha,positive
engine repair ekdam ok cha,neutral
ma tyre condition bata kaam sakiyo,neutral
parts quality good bhaena,negative
overall experience use garda samanya feel bhayo,neutral
complaint handling ko barema ramro bhayena,negative
yo auto workshop ma kaam adhuro,negative
malai engine condition bekar lagyo,negative
yo charge phutyo thiena,positive
yo price use garda ramro feel bhayo,positive
replacement parts pura ramro chaina,negative
"mero bike condition quality pani cha, ghatiya pani cha",neutral
yo auto workshop ko barema man parena,negative
yo place problem cha,negative
COMPLAINT HANDLING PURA RECOMMEND CHAINA,negative
Battery service asal cha tara unprofessional cha,negative
yo charge ma naramo experience bhayo,negative
malai yo place average lagyo,neutral
mero bike condition ekdam late cha,negative
ma yo auto workshop bata kaam bhayo,neutral
yo price ko quality thikai cha,neutral
yo repair service lastai recommend cha,positive
tyre condition ma samasya experience bhayo,negative
mero car condition best thiyo tara galti bhayo,negative
VEHICLE PERFORMANCE MA JUST OKAY,neutral
phone response ma delay experience bhayo,negative
yo workshop service bhayo,neutral
yo workshop raddi cha tara quick cha,positive
yo price ekdam thikai cha,neutral
worker haru ma low quality,negative
malai phone response okay lagyo,neutral
yo mechanic shop useless chaina,positive
mero car condition ekdam damage cha,negative
Vehicle performance jhyau thiyo tara perfect bhayo,positive
waiting time use garda samanya feel bhayo,neutral
yo price ma so so,neutral
yo bill chitto chaina,negative
yo thau top quality,positive
ma repair cost bata ali thik,neutral
bill amount phutyo chaina,positive
billing system ma value for money,positive
brake condition kaam bhayo,neutral
customer service lastai reliable cha,positive
"repair time sahi pani cha, bakbas pani cha",neutral
maintenance service lastai raamro cha,positive
yo garage ma so so,neutral
car servicing use garda bigreko feel bhayo,negative
"YO CHARGE GAJJAB PANI CHA, DHILO PANI CHA",neutral
mero car condition smooth cha,positive
worker haru use garda ghatiya feel bhayo,negative
Brake condition luteko bhaena,positive
malai yo price chitto lagena,negative
"mero bike condition ma babbal cha, phutyo pani chha",neutral
waiting time thik garena,negative
yo thau ma highly recommend,positive
bill amount ekdam ghatiya chha,negative
waiting time ma value for money,positive
ma worker haru bata ramro bhayo,positive
parts quality ko barema just okay,neutral
car servicing man paryo,positive
"engine condition prasanna pani cha, bigriyo pani cha",neutral
yo mechanic ma dhokha experience bhayo,negative
replacement parts smooth cha tara slow cha,negative
staff haru babbal cha tara kharab cha,negative
bike servicing ma man paryo,positive
yo repair service friendly thiyo tara late bhayo,negative
yo mechanic ma bhorosa experience bhayo,positive
mero car condition durable cha,positive
yo bill ma engine check,neutral
mero car condition jhanjhat cha,negative
malai staff haru ok lagyo,neutral
WAITING TIME EKDAM IGNORED CHA,negative
MALAI WORKER HARU QUICK LAGENA,negative
yo workshop ma recommend gardina,negative
"yo servicing center ma nice cha, jhanjhat pani chha",neutral
brake system lastai fast cha,positive
payment system highly recommend,positive
replacement parts late cha tara asal cha,positive
SERVICE TIME USE GARDA HAPPY FEEL BHAYO,positive
"car servicing professional pani cha, raddi pani chha",neutral
ma yo servicing center bata just okay,neutral
ma service time bata ali thik,neutral
yo servicing ma normal experience bhayo,neutral
repair cost lastai mahango cha,negative
maintenance service dherai samanya lagyo,neutral
bike servicing jhutho chha,negative
staff haru ko barema kaam sakiyo,neutral
malai battery service recommend lagyo,positive
"parts quality ma imandar cha, waste pani cha",neutral
Payment system duplicate cha tara helpful cha,positive
malai billing system average lagyo,neutral
brake system dherai fohor lagyo,negative
worker haru slow bhaena,positive
yo place ma jabardast experience bhayo,positive
yo thau ko quality okay cha,neutral
yo garage ko barema chitta bujhyo,positive
malai parts quality bhorosilo lagyo,positive
ma service time bata kaam sakiyo,neutral
yo servicing center ekdam excellent cha,positive
worker haru dherai thikai lagyo,neutral
Yo repair service use garda okay feel bhayo,neutral
billing system perfect thiyo tara jhyau bhayo,negative
yo charge lastai bhorosilo cha,positive
Staff haru satisfied chaina,negative
malai yo place ruksha lagyo,negative
overall experience ekdam chor cha,negative
delivery time lastai thikkai cha,neutral
complaint handling ekdam normal cha,neutral
customer service reasonable thiyo tara slow bhayo,negative
"yo auto workshop asal pani cha, jhutho pani cha",neutral
vehicle performance kaam sakiyo,neutral
mero experience jhanjhat cha,negative
brake condition ko barema top quality,positive
support team duplicate parts,negative
engine kaam dherai okay lagyo,neutral
billing system ma phutyo experience bhayo,negative
service time ma bhalo experience bhayo,positive
Yo spare parts ko barema no response,negative
"yo bill ma recommend cha, bakwas pani cha",neutral
"replacement parts ma ramaro cha, awful pani cha",neutral
yo workshop ko barema engine check,neutral
yo servicing center ekdam khusi chha,positive
YO SERVICING CENTER KO BAREMA PROBLEM SOLVE BHAYO,positive
PAYMENT SYSTEM JHYAU CHA TARA RAMRARI CHA,positive
engine kaam ko quality raddi cha,negative
yo servicing center ekdam okay cha,neutral
ENGINE CONDITION JHANJHAT THIYO TARA RAMRARI BHAYO,positive
malai yo technician majja lagyo,positive
malai parts replacement average lagyo,neutral
vehicle performance dherai ramro lagyo,positive
Malai yo price ok lagyo,neutral
bike servicing ghatiya thiyo tara reliable bhayo,positive
